epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.27,1.74997,2.47433,1.95691,0.24756,0.10888,0.03073,0.00961,2.57216,11.1128,3.37956,0.0701167,0.00332036,0.00332036
2,249.98,1.76908,2.27503,2.00511,0.32616,0.09961,0.06863,0.02627,2.34258,3.40403,2.69077,0.0398972,0.00643412,0.00643412
3,368.382,1.68928,2.10995,1.92855,0.37637,0.32163,0.24469,0.11218,1.70571,3.45168,2.1636,0.00945759,0.00932789,0.00932789
4,486.213,1.56445,1.89621,1.81097,0.32474,0.34738,0.2392,0.10091,1.93453,2.79219,2.25927,0.00901,0.00901,0.00901
5,603.989,1.53862,1.78301,1.78894,0.40607,0.48796,0.42087,0.20388,1.62906,1.80487,2.01299,0.00868,0.00868,0.00868
6,721.87,1.4752,1.68404,1.73844,0.4401,0.46198,0.41117,0.21854,1.58222,1.63432,1.9168,0.00835,0.00835,0.00835
7,839.304,1.46173,1.63848,1.71005,0.4899,0.54772,0.48253,0.27379,1.49138,1.51871,1.8143,0.00802,0.00802,0.00802
8,954.918,1.40899,1.52895,1.65737,0.52588,0.53483,0.51251,0.29088,1.52553,1.51353,1.87312,0.00769,0.00769,0.00769
9,1070.81,1.41625,1.50633,1.65989,0.60018,0.531,0.56557,0.31075,1.52277,1.46654,1.87191,0.00736,0.00736,0.00736
10,1186.59,1.365,1.45318,1.62928,0.60063,0.5691,0.56168,0.31623,1.4859,1.51287,1.8001,0.00703,0.00703,0.00703
11,1304.21,1.35417,1.43131,1.60787,0.63048,0.61455,0.63327,0.35276,1.43416,1.3421,1.74863,0.0067,0.0067,0.0067
12,1421.66,1.33105,1.35968,1.58855,0.66923,0.58368,0.62106,0.34408,1.44669,1.30681,1.74924,0.00637,0.00637,0.00637
13,1539.59,1.32264,1.35708,1.58061,0.67238,0.60841,0.64589,0.35877,1.42647,1.27691,1.68722,0.00604,0.00604,0.00604
14,1655.88,1.28178,1.3057,1.54609,0.6568,0.62898,0.63779,0.37496,1.40211,1.22384,1.70198,0.00571,0.00571,0.00571
15,1771.29,1.27807,1.28006,1.54322,0.6418,0.64974,0.673,0.38341,1.44076,1.29607,1.72623,0.00538,0.00538,0.00538
16,1889.18,1.26453,1.24777,1.53378,0.72463,0.66652,0.7164,0.43706,1.30686,1.12803,1.59529,0.00505,0.00505,0.00505
17,2007.16,1.24788,1.20869,1.51752,0.74108,0.65562,0.7129,0.4299,1.3237,1.10142,1.59917,0.00472,0.00472,0.00472
18,2122.07,1.22737,1.17737,1.49795,0.75673,0.66416,0.72498,0.42778,1.36284,1.09408,1.61223,0.00439,0.00439,0.00439
19,2239.01,1.23649,1.17382,1.50482,0.75943,0.71184,0.7448,0.43972,1.34295,1.07761,1.6058,0.00406,0.00406,0.00406
20,2355.76,1.20945,1.12315,1.47428,0.7801,0.7464,0.78178,0.47292,1.27605,1.01767,1.55795,0.00373,0.00373,0.00373
21,2498.52,1.23876,1.0573,1.57788,0.6964,0.7304,0.7473,0.45632,1.29123,1.05643,1.56189,0.0034,0.0034,0.0034
22,2615.61,1.21628,1.00206,1.54635,0.76402,0.72013,0.77059,0.47464,1.24198,1.01091,1.52317,0.00307,0.00307,0.00307
23,2732.03,1.20195,0.98753,1.52726,0.75657,0.74984,0.79271,0.48241,1.3084,0.98524,1.58451,0.00274,0.00274,0.00274
24,2849.28,1.1911,0.94793,1.51594,0.80457,0.76666,0.8039,0.4944,1.25939,0.97884,1.52819,0.00241,0.00241,0.00241
25,2965.78,1.17034,0.92379,1.49699,0.83013,0.7486,0.80975,0.50305,1.23091,0.92436,1.5113,0.00208,0.00208,0.00208
26,3080.35,1.13919,0.88801,1.47035,0.79321,0.78624,0.81488,0.51501,1.21549,0.91841,1.48273,0.00175,0.00175,0.00175
27,3195.19,1.12707,0.86528,1.45667,0.83422,0.79712,0.83243,0.53201,1.20188,0.88242,1.47023,0.00142,0.00142,0.00142
28,3312.35,1.11055,0.83541,1.44103,0.83696,0.80474,0.83843,0.5409,1.20676,0.85076,1.47061,0.00109,0.00109,0.00109
29,3430.03,1.09227,0.81152,1.4318,0.82361,0.80197,0.8298,0.53532,1.18714,0.85228,1.45452,0.00076,0.00076,0.00076
30,3546.94,1.07601,0.79754,1.41264,0.82961,0.8068,0.84019,0.54805,1.18168,0.83511,1.44651,0.00043,0.00043,0.00043
